id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
1243,2018,2,21,2018-02-21,40,NA,5,NA,,60,NA,NA
1244,2018,2,22,2018-02-22,40,NA,5,NA,,70,33,65
1245,2018,2,23,2018-02-23,50,NA,5,NA,,70,33,65
1246,2018,2,24,2018-02-24,50,230,5,15,,70,33,65
1247,2018,2,25,2018-02-25,50,230,5,15,,70,33,70
1248,2018,2,26,2018-02-26,50,230,5,15,,70,33,
1249,2018,2,27,2018-02-27,50,230,5,15,,70,33,
1250,2018,2,28,2018-02-28,50,225,5,15,,70,33,
1251,2018,3,1,2018-03-01,50,225,5,15,,70,35,
1252,2018,3,2,2018-03-02,50,225,5,15,,70,35,
1253,2018,3,3,2018-03-03,50,225,5,15,,70,35,
1254,2018,3,4,2018-03-04,50,225,5,15,,70,35,
1255,2018,3,5,2018-03-05,50,225,5,15,,70,35,
1256,2018,3,6,2018-03-06,50,225,5,15,,70,35,
1257,2018,3,7,2018-03-07,50,225,5,15,,70,35,
1258,2018,3,8,2018-03-08,50,225,10,15,,70,35,
1259,2018,3,9,2018-03-09,50,225,10,15,,70,35,
1260,2018,3,10,2018-03-10,50,225,10,15,,70,35,
1261,2018,3,11,2018-03-11,50,225,15,15,,70,35,
1262,2018,3,12,2018-03-12,50,225,5,15,,70,35,
1263,2018,3,13,2018-03-13,50,220,5,15,,70,35,
1264,2018,3,14,2018-03-14,50,230,5,15,,70,,
1265,2018,3,15,2018-03-15,50,230,5,15,,75,,
1266,2018,3,16,2018-03-16,50,230,5,15,,75,,
1267,2018,3,17,2018-03-17,50,230,5,15,,75,,
1268,2018,3,18,2018-03-18,50,230,5,15,,75,,
1269,2018,3,19,2018-03-19,45,230,5,15,,75,30,
1270,2018,3,20,2018-03-20,45,230,5,15,,75,30,
1271,2018,3,21,2018-03-21,45,230,5,15,,75,30,
1272,2018,3,22,2018-03-22,45,230,5,15,,75,30,
1273,2018,3,23,2018-03-23,45,230,5,15,,75,30,
1274,2018,3,24,2018-03-24,45,230,5,15,,75,30,
1275,2018,3,25,2018-03-25,45,230,5,15,,75,30,
1276,2018,3,26,2018-03-26,50,230,5,15,,75,30,
1277,2018,3,27,2018-03-27,55,230,5,15,,75,30,
1278,2018,3,28,2018-03-28,55,230,5,15,,75,30,
1279,2018,3,29,2018-03-29,55,230,5,15,,75,30,
1280,2018,3,30,2018-03-30,55,230,5,15,,70,30,
1281,2018,3,31,2018-03-31,55,245,5,15,,70,30,
1282,2018,4,1,2018-04-01,55,245,5,15,,70,30,
1283,2018,4,2,2018-04-02,55,245,5,15,,70,30,
1284,2018,4,3,2018-04-03,55,245,5,15,,75,30,
1285,2018,4,4,2018-04-04,55,245,5,15,,75,30,
1286,2018,4,5,2018-04-05,55,245,10,15,,75,,
1287,2018,4,6,2018-04-06,55,245,10,15,,75,,
1288,2018,4,7,2018-04-07,55,275,10,15,,70,,
1289,2018,4,8,2018-04-08,55,275,5,15,,70,,
