site,zone,year,tree,aspect,height,viability,gmin
T12,Tree island,2013,3,L,C,99,1.70E-05
T12,Tree island,2013,3,L,S,100,1.30E-05
T12,Tree island,2013,3,L,S,94,2.60E-05
T12,Tree island,2013,4,L,A,96,2.60E-06
T12,Tree island,2013,4,L,C,100,2.10E-07
T12,Tree island,2013,4,L,C,94,2.10E-05
T12,Tree island,2013,4,L,S,100,1.70E-05
T12,Tree island,2013,4,L,S,100,2.20E-05
T12,Tree island,2013,5,L,A,75,2.40E-05
T12,Tree island,2013,5,L,A,91,5.10E-06
T12,Tree island,2013,5,L,C,83,3.40E-05
T12,Tree island,2013,5,L,C,94,2.50E-05
T12,Tree island,2013,5,L,S,100,1.30E-05
T12,Tree island,2013,5,L,S,98,1.80E-05
T14,Tree island,2013,1,L,A,98,1.90E-05
T14,Tree island,2013,1,L,A,100,1.00E-05
T14,Tree island,2013,1,L,C,98,3.40E-06
T14,Tree island,2013,1,L,C,100,1.30E-05
T14,Tree island,2013,1,L,S,98,9.00E-06
T14,Tree island,2013,1,L,S,100,5.00E-06
T14,Tree island,2013,2,L,A,100,4.60E-06
T14,Tree island,2013,2,L,A,97,4.60E-06
T14,Tree island,2013,2,L,C,100,4.00E-06
T14,Tree island,2013,2,L,C,100,7.70E-06
T14,Tree island,2013,2,L,S,100,2.70E-06
T14,Tree island,2013,2,L,S,99,1.50E-06
T14,Tree island,2013,3,L,A,100,1.50E-05
T14,Tree island,2013,3,L,A,93,7.90E-06
T14,Tree island,2013,3,L,C,97,1.20E-05
T14,Tree island,2013,3,L,C,98,8.50E-06
T14,Tree island,2013,3,L,S,100,2.40E-05
T14,Tree island,2013,3,L,S,100,5.80E-06
T14,Tree island,2013,4,L,A,96,1.30E-05
T14,Tree island,2013,4,L,A,100,4.60E-06
T14,Tree island,2013,4,L,C,100,1.60E-05
T14,Tree island,2013,4,L,C,100,1.90E-05
T14,Tree island,2013,4,L,S,100,5.20E-06
T14,Tree island,2013,4,L,S,100,1.50E-06
T14,Tree island,2013,5,L,A,97,1.10E-05
T14,Tree island,2013,5,L,A,100,1.20E-05
T14,Tree island,2013,5,L,C,100,1.00E-05
T14,Tree island,2013,5,L,C,100,1.50E-05
T14,Tree island,2013,5,L,S,96,5.60E-06
TIS,Tree island,2013,1,L,A,84,2.00E-05
TIS,Tree island,2013,1,L,A,9,1.00E-05
TIS,Tree island,2013,1,L,C,70,1.50E-05
TIS,Tree island,2013,1,L,C,100,1.10E-05
TIS,Tree island,2013,1,L,S,100,3.90E-05
TIS,Tree island,2013,1,L,S,10,5.70E-05
TIS,Tree island,2013,2,L,A,15,2.40E-05
TIS,Tree island,2013,2,L,A,82,2.20E-05
TIS,Tree island,2013,2,L,C,100,1.80E-05
TIS,Tree island,2013,2,L,C,94,2.00E-05
TIS,Tree island,2013,2,L,S,100,1.50E-05
TIS,Tree island,2013,2,L,S,90,8.30E-06
TIS,Tree island,2013,3,L,A,96,2.20E-05
TIS,Tree island,2013,3,L,A,83,1.70E-05
TIS,Tree island,2013,3,L,C,95,3.00E-05
TIS,Tree island,2013,3,L,C,75,1.30E-05
TIS,Tree island,2013,3,L,S,95,2.30E-05
TIS,Tree island,2013,3,L,S,59,8.30E-05
TIS,Tree island,2013,4,L,A,94,3.00E-05
TIS,Tree island,2013,4,L,A,61,3.40E-05
TIS,Tree island,2013,4,L,C,75,4.30E-05
TIS,Tree island,2013,4,L,C,96,1.30E-05
TIS,Tree island,2013,4,L,S,85,1.90E-05
TIS,Tree island,2013,4,L,S,97,1.30E-05
TIS,Tree island,2013,5,L,A,77,1.40E-05
TIS,Tree island,2013,5,L,A,95,1.20E-05
TIS,Tree island,2013,5,L,C,96,2.80E-05
TIS,Tree island,2013,5,L,C,98,1.00E-05
TIS,Tree island,2013,5,L,C,94,9.30E-06
TIS,Tree island,2013,5,L,S,52,2.00E-05
TIS,Tree island,2013,5,L,S,92,3.20E-05
T10,Tree island,2013,1,W,A,100,2.90E-05
T10,Tree island,2013,1,W,A,97,3.50E-05
T10,Tree island,2013,1,W,C,98,1.90E-05
T10,Tree island,2013,1,W,C,89,3.50E-05
T10,Tree island,2013,1,W,S,98,1.00E-05
T10,Tree island,2013,1,W,S,98,1.20E-05
T10,Tree island,2013,2,W,A,0,1.90E-05
T10,Tree island,2013,2,W,A,100,1.80E-05
T10,Tree island,2013,2,W,C,2,4.40E-06
T10,Tree island,2013,2,W,C,100,9.40E-06
T10,Tree island,2013,2,W,S,98,9.90E-06
T10,Tree island,2013,2,W,S,100,2.50E-05
T10,Tree island,2013,3,W,A,95,4.40E-05
T10,Tree island,2013,3,W,A,100,8.30E-06
T10,Tree island,2013,3,W,C,93,2.10E-05
T10,Tree island,2013,3,W,C,97,4.20E-06
T10,Tree island,2013,3,W,S,96,3.40E-05
T10,Tree island,2013,3,W,S,100,5.50E-06
T10,Tree island,2013,4,W,A,99,1.60E-05
T10,Tree island,2013,4,W,A,100,1.60E-05
T10,Tree island,2013,4,W,C,100,1.70E-05
T10,Tree island,2013,4,W,C,94,3.10E-05
T10,Tree island,2013,4,W,S,98,1.40E-05
T10,Tree island,2013,4,W,S,100,1.20E-05
T10,Tree island,2013,5,W,A,94,1.80E-05
T10,Tree island,2013,5,W,A,100,4.40E-05
T10,Tree island,2013,5,W,C,100,1.10E-05
T10,Tree island,2013,5,W,C,96,1.20E-05
T10,Tree island,2013,5,W,S,82,2.30E-05
T10,Tree island,2013,5,W,S,100,6.90E-06
T11,Tree island,2013,1,W,A,100,1.70E-06
T11,Tree island,2013,1,W,A,100,6.90E-06
T11,Tree island,2013,1,W,C,100,1.50E-05
T11,Tree island,2013,1,W,C,100,2.40E-05
T11,Tree island,2013,1,W,S,76,4.80E-05
T11,Tree island,2013,1,W,S,100,1.30E-05
T11,Tree island,2013,2,W,A,100,7.60E-06
T11,Tree island,2013,2,W,A,100,7.20E-06
T11,Tree island,2013,2,W,C,100,2.20E-05
T11,Tree island,2013,2,W,C,100,1.70E-05
T11,Tree island,2013,2,W,S,100,1.20E-05
T11,Tree island,2013,2,W,S,97,1.20E-05
T11,Tree island,2013,3,W,A,100,6.00E-05
T11,Tree island,2013,3,W,A,100,2.70E-06
T11,Tree island,2013,3,W,C,100,3.70E-06
T11,Tree island,2013,3,W,C,100,1.50E-05
T11,Tree island,2013,3,W,S,100,9.00E-06
T11,Tree island,2013,3,W,S,100,1.20E-05
T11,Tree island,2013,4,W,A,100,2.50E-07
T11,Tree island,2013,4,W,A,100,1.90E-05
T11,Tree island,2013,4,W,C,100,1.50E-05
